NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
GRM5	3	214217_at:1565389_s_at:207235_s_at	
CA1	2	205950_s_at:205949_at	
GRM4	1	210234_at	
CA3	1	204865_at	
GRM7	3	241049_at:207548_at:217008_s_at	
ZIC2	1	223642_at	
ZIC3	1	207197_at	
GRM6	1	208035_at	
CA2	1	209301_at	
CA4	2	206209_s_at:206208_at	
ZIC1	3	236896_at:206373_at:234716_at	
GRM8	3	216992_s_at:216256_at:216255_s_at	
CA7	1	207504_at	
SPATA31C2	1	215320_at	
CA6	2	206873_at:1555572_at	
MYBL2	1	201710_at	
CA9	1	205199_at	
CA8	3	238537_at:220234_at:1555445_at	
MYBL1	3	213906_at:237014_at:231268_at	
SUN3	1	231618_s_at	
SUN2	1	212144_at	
SUN1	4	230210_at:206487_at:214169_at:212074_at	
ATP6AP1	1	207809_s_at	
CAD	2	1564084_at:202715_at	
ATP6AP2	3	201442_s_at:201444_s_at:201443_s_at	
HUNK	2	219535_at:1555935_s_at	
SEPTIN7P2	4	1569973_at:1569974_x_at:228147_at:230355_at	
SUN5	4	242668_x_at:237188_x_at:234504_at:233905_at	
ELF1	2	212420_at:212418_at	
CFAP100	2	243758_at:242615_at	
ELF2	3	203822_s_at:242735_x_at:210361_s_at	
GFOD1	2	219821_s_at:1554486_a_at	
CH17-340M24.3	1	1558685_a_at	
ELF3	3	210827_s_at:201510_at:229842_at	
ELF4	2	31845_at:203490_at	
ELF5	2	220625_s_at:220624_s_at	
CAT	3	215573_at:211922_s_at:201432_at	
